"bp-Homecard href","Badge","bp-Homecard__Photo--image src","bp-Homecard__Photo","bp-Homecard__Price--value","bp-Homecard__Price--label","bp-Homecard__Stats--beds","bp-Homecard__Stats--baths","bp-Homecard__LockedStat--value","bp-Homecard__Content"
"https://www.redfin.com/GA/Atlanta/1428-Brook-Valley-Ln-NE-30324/home/23726998","","https://ssl.cdn-redfin.com/photo/82/islphoto/127/genIslnoResize.7553127_3.jpg","1428 Brook Valley Ln NE, Atlanta, GA 30324","$755,000","Last sold price","3 beds","2 baths","1,733","{""@context"":""http://schema.org"",""name"":""1428 Brook Valley Ln NE, Atlanta, GA 30324"",""url"":""https://www.redfin.com/GA/Atlanta/1428-Brook-Valley-Ln-NE-30324/home/23726998"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1428 Brook Valley Ln NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30324"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8221016,""longitude"":-84.3460311},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1733,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/1309-Brookshire-Ln-NE-30319/home/23730240","","https://ssl.cdn-redfin.com/photo/82/islphoto/037/genIslnoResize.7553037_5.jpg","1309 Brookshire Ln NE, Brookhaven, GA 30319","$715,000","Last sold price","4 beds","3 baths","2,855","{""@context"":""http://schema.org"",""name"":""1309 Brookshire Ln NE, Brookhaven, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/1309-Brookshire-Ln-NE-30319/home/23730240"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1309 Brookshire Ln NE"",""addressLocality"":""Brookhaven"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8467556,""longitude"":-84.3352975},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2855,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/1901-Sterling-Oaks-Cir-NE-30319/home/23732077","","https://ssl.cdn-redfin.com/photo/82/islphoto/833/genIslnoResize.7527833_1.jpg","1901 Sterling Oaks Cir, Atlanta, GA 30319","$450,000","Last sold price","3 beds","3.5 baths","2,314","{""@context"":""http://schema.org"",""name"":""1901 Sterling Oaks Cir, Atlanta, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/1901-Sterling-Oaks-Cir-NE-30319/home/23732077"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1901 Sterling Oaks Cir"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8376231,""longitude"":-84.3364292},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2314,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/1468-Briarwood-Rd-NE-30319/unit-703/home/23735194","","https://ssl.cdn-redfin.com/photo/82/islphoto/353/genIslnoResize.7564353_2.jpg","1468 Briarwood Rd NE #703, Atlanta, GA 30319","$340,000","Last sold price","2 beds","2.5 baths","1,290","{""@context"":""http://schema.org"",""name"":""1468 Briarwood Rd NE #703, Atlanta, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/1468-Briarwood-Rd-NE-30319/unit-703/home/23735194"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1468 Briarwood Rd NE #703"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.850156,""longitude"":-84.3306232},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1290,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1521-Dianne-Ct-SE-30316/home/23738199","","https://ssl.cdn-redfin.com/system_files/media/1063308_JPG/genDesktopMapHomeCardUrl/item_1.jpg","1521 Dianne Ct SE, Atlanta, GA 30316","$480,000","Last sold price","4 beds","3 baths","2,033","{""@context"":""http://schema.org"",""name"":""1521 Dianne Ct SE, Atlanta, GA 30316"",""url"":""https://www.redfin.com/GA/Atlanta/1521-Dianne-Ct-SE-30316/home/23738199"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1521 Dianne Ct SE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30316"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7151373,""longitude"":-84.3236968},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2033,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1378-Lochland-Rd-SE-30316/home/23739076","","https://ssl.cdn-redfin.com/photo/82/islphoto/965/genIslnoResize.7568965_0.jpg","1378 Lochland Rd SE, Atlanta, GA 30316","$625,000","Last sold price","4 beds","3 baths","2,371","{""@context"":""http://schema.org"",""name"":""1378 Lochland Rd SE, Atlanta, GA 30316"",""url"":""https://www.redfin.com/GA/Atlanta/1378-Lochland-Rd-SE-30316/home/23739076"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1378 Lochland Rd SE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30316"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7255265,""longitude"":-84.3341271},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2371,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/944-Stallings-Ave-SE-30316/home/23739095","","https://ssl.cdn-redfin.com/photo/82/islphoto/301/genIslnoResize.7564301_0.jpg","944 Stallings Ave SE, Atlanta, GA 30316","$249,999","Last sold price","2 beds","1 bath","881","{""@context"":""http://schema.org"",""name"":""944 Stallings Ave SE, Atlanta, GA 30316"",""url"":""https://www.redfin.com/GA/Atlanta/944-Stallings-Ave-SE-30316/home/23739095"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""944 Stallings Ave SE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30316"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7285792,""longitude"":-84.3330238},""numberOfRooms"":2,""floorSize"":{""@type"":""QuantitativeValue"",""value"":881,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1373-Ormewood-Ave-SE-30316/home/23740752","","https://ssl.cdn-redfin.com/photo/82/islphoto/764/genIslnoResize.7536764_4.jpg","1373 Ormewood Ave SE, Atlanta, GA 30316","$997,000","Last sold price","4 beds","3.5 baths","2,899","{""@context"":""http://schema.org"",""name"":""1373 Ormewood Ave SE, Atlanta, GA 30316"",""url"":""https://www.redfin.com/GA/Atlanta/1373-Ormewood-Ave-SE-30316/home/23740752"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1373 Ormewood Ave SE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30316"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.733815,""longitude"":-84.3427759},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2899,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1810-Burlington-Pl-NE-30307/home/23746619","","https://ssl.cdn-redfin.com/photo/82/islphoto/944/genIslnoResize.7561944_0.jpg","1810 Burlington Pl NE, Atlanta, GA 30307","$1,350,000","Last sold price","5 beds","4 baths","3,699","{""@context"":""http://schema.org"",""name"":""1810 Burlington Pl NE, Atlanta, GA 30307"",""url"":""https://www.redfin.com/GA/Atlanta/1810-Burlington-Pl-NE-30307/home/23746619"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1810 Burlington Pl NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30307"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.7887771,""longitude"":-84.3154395},""numberOfRooms"":5,""floorSize"":{""@type"":""QuantitativeValue"",""value"":3699,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1201-Beech-Valley-Rd-NE-30306/home/23747143","","https://ssl.cdn-redfin.com/photo/82/islphoto/472/genIslnoResize.7575472_3.jpg","1201 Beech Valley Rd NE, Atlanta, GA 30306","$2,625,000","Last sold price","6 beds","5.5 baths","5,750","{""@context"":""http://schema.org"",""name"":""1201 Beech Valley Rd NE, Atlanta, GA 30306"",""url"":""https://www.redfin.com/GA/Atlanta/1201-Beech-Valley-Rd-NE-30306/home/23747143"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1201 Beech Valley Rd NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30306"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.796977,""longitude"":-84.3478511},""numberOfRooms"":6,""floorSize"":{""@type"":""QuantitativeValue"",""value"":5750,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/2112-Starfire-Dr-NE-30345/home/23751073","","https://ssl.cdn-redfin.com/photo/82/islphoto/720/genIslnoResize.7542720_7.jpg","2112 Starfire Dr NE, Atlanta, GA 30345","$730,000","Last sold price","4 beds","3.5 baths","3,597","{""@context"":""http://schema.org"",""name"":""2112 Starfire Dr NE, Atlanta, GA 30345"",""url"":""https://www.redfin.com/GA/Atlanta/2112-Starfire-Dr-NE-30345/home/23751073"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2112 Starfire Dr NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30345"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8452555,""longitude"":-84.2814492},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":3597,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/2262-Abby-Ln-NE-30345/home/23751321","","https://ssl.cdn-redfin.com/system_files/media/1010637_JPG/genDesktopMapHomeCardUrl/item_6.jpg","2262 Abby Ln NE, Atlanta, GA 30345","$1,085,000","Last sold price","5 beds","3 baths","3,671","{""@context"":""http://schema.org"",""name"":""2262 Abby Ln NE, Atlanta, GA 30345"",""url"":""https://www.redfin.com/GA/Atlanta/2262-Abby-Ln-NE-30345/home/23751321"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2262 Abby Ln NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30345"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8495476,""longitude"":-84.2992841},""numberOfRooms"":5,""floorSize"":{""@type"":""QuantitativeValue"",""value"":3671,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1962-Clairmont-Ter-NE-30345/home/23752464","","https://ssl.cdn-redfin.com/photo/82/islphoto/643/genIslnoResize.7564643_0.jpg","1962 Clairmont Ter, Atlanta, GA 30345","$349,000","Last sold price","3 beds","2 baths","1,464","{""@context"":""http://schema.org"",""name"":""1962 Clairmont Ter, Atlanta, GA 30345"",""url"":""https://www.redfin.com/GA/Atlanta/1962-Clairmont-Ter-NE-30345/home/23752464"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1962 Clairmont Ter"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30345"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8551256,""longitude"":-84.3089097},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1464,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
